subscription_id,customer_id,plan_id,subscription_start_date,subscription_end_date,subscription_status,auto_renew,cancellation_date,cancellation_reason,monthly_price
SUB0001609,CUST001462,PLAN01,2022-07-14,,Active,True,,,6.99
SUB0001610,CUST001463,PLAN01,2023-03-27,,Active,True,,,6.99
SUB0001611,CUST001464,PLAN02,2023-04-14,,Active,True,,,15.49
SUB0001612,CUST001465,PLAN01,2021-11-13,,Cancelled,True,2026-04-17,Content quality decline,6.99
SUB0001613,CUST001466,PLAN01,2022-11-13,,Active,True,,,6.99
SUB0001614,CUST001467,PLAN03,2026-01-18,,Cancelled,True,2026-03-25,Too expensive,22.99
SUB0001615,CUST001468,PLAN03,2026-01-07,,Cancelled,True,2026-01-27,Content quality decline,22.99
SUB0001616,CUST001469,PLAN02,2021-12-16,,Cancelled,True,2026-01-13,Too expensive,15.49
SUB0001617,CUST001470,PLAN01,2022-04-05,,Active,True,,,6.99
SUB0001618,CUST001471,PLAN01,2024-04-28,,Active,True,,,6.99
SUB0001619,CUST001472,PLAN02,2026-02-25,,Cancelled,True,2026-05-17,Too expensive,15.49
SUB0001620,CUST001473,PLAN01,2024-06-04,,Cancelled,True,2025-11-28,Content quality decline,6.99
SUB0001621,CUST001474,PLAN02,2021-08-12,,Cancelled,False,2026-05-09,Moving / relocation,15.49
SUB0001622,CUST001475,PLAN01,2023-11-10,2024-10-14,Plan Changed,True,,,6.99
SUB0001623,CUST001475,PLAN01,2024-10-14,,Active,True,,,6.99
SUB0001624,CUST001476,PLAN01,2022-07-24,,Active,False,,,6.99
SUB0001625,CUST001477,PLAN03,2021-07-08,2024-01-06,Plan Changed,True,,,15.49
SUB0001626,CUST001477,PLAN02,2024-01-06,,Cancelled,True,2026-06-15,Too expensive,15.49
SUB0001627,CUST001478,PLAN02,2022-12-09,,Active,True,,,15.49
SUB0001628,CUST001479,PLAN02,2019-11-05,,Cancelled,False,2025-10-18,Poor customer service experience,15.49
SUB0001629,CUST001480,PLAN01,2025-07-02,,Cancelled,False,2026-02-09,No longer needed,6.99
SUB0001630,CUST001481,PLAN02,2022-12-10,,Active,True,,,15.49
SUB0001631,CUST001482,PLAN02,2022-03-10,,Active,True,,,15.49
SUB0001632,CUST001483,PLAN01,2025-10-04,,Active,True,,,6.99
SUB0001633,CUST001484,PLAN02,2025-03-29,,Active,True,,,15.49
SUB0001634,CUST001485,PLAN01,2023-05-31,2025-07-24,Plan Changed,True,,,6.99
SUB0001635,CUST001485,PLAN01,2025-07-24,,Active,True,,,6.99
SUB0001636,CUST001486,PLAN01,2022-05-27,,Cancelled,True,2025-10-24,No longer needed,6.99
SUB0001637,CUST001487,PLAN03,2022-09-04,,Active,True,,,22.99
SUB0001638,CUST001488,PLAN02,2022-07-03,,Active,False,,,15.49
SUB0001639,CUST001489,PLAN03,2021-11-15,,Active,True,,,22.99
SUB0001640,CUST001490,PLAN02,2020-02-09,,Active,False,,,15.49
SUB0001641,CUST001491,PLAN01,2022-07-07,,Active,True,,,6.99
SUB0001642,CUST001492,PLAN01,2021-03-08,,Active,True,,,6.99
SUB0001643,CUST001493,PLAN03,2020-11-13,,Active,False,,,22.99
SUB0001644,CUST001494,PLAN02,2022-07-30,,Cancelled,True,2025-10-30,Found alternative platform,15.49
SUB0001645,CUST001495,PLAN01,2024-11-23,,Cancelled,True,2026-03-28,Password sharing crackdown,6.99
SUB0001646,CUST001496,PLAN02,2019-07-29,,Active,True,,,15.49
SUB0001647,CUST001497,PLAN03,2020-11-16,,Active,True,,,22.99
SUB0001648,CUST001498,PLAN01,2025-08-31,,Active,True,,,6.99
SUB0001649,CUST001499,PLAN02,2026-03-26,,Active,True,,,15.49
SUB0001650,CUST001500,PLAN03,2026-04-14,,Active,True,,,22.99
SUB0001651,CUST001501,PLAN01,2026-02-19,,Active,True,,,6.99
SUB0001652,CUST001502,PLAN01,2026-01-13,,Active,True,,,6.99
SUB0001653,CUST001503,PLAN01,2024-04-22,,Active,True,,,6.99
SUB0001654,CUST001504,PLAN02,2023-06-18,,Active,True,,,15.49
SUB0001655,CUST001505,PLAN01,2022-03-14,2022-09-15,Plan Changed,True,,,15.49
SUB0001656,CUST001505,PLAN02,2022-09-15,,Active,True,,,15.49
SUB0001657,CUST001506,PLAN02,2023-10-05,2024-10-02,Plan Changed,True,,,22.99
SUB0001658,CUST001506,PLAN03,2024-10-02,,Cancelled,True,2025-12-22,No longer needed,22.99
SUB0001659,CUST001507,PLAN01,2024-06-03,,Cancelled,True,2026-01-03,Not enough content,6.99
SUB0001660,CUST001508,PLAN01,2024-04-21,,Active,True,,,6.99
SUB0001661,CUST001509,PLAN01,2025-12-06,,Active,True,,,6.99
SUB0001662,CUST001510,PLAN01,2020-09-22,2020-12-26,Plan Changed,True,,,6.99
SUB0001663,CUST001510,PLAN01,2020-12-26,,Cancelled,True,2025-12-28,Too expensive,6.99
SUB0001664,CUST001511,PLAN01,2023-03-29,,Active,True,,,6.99
SUB0001665,CUST001512,PLAN01,2024-08-13,,Active,True,,,6.99
SUB0001666,CUST001513,PLAN01,2021-09-04,,Active,True,,,6.99
SUB0001667,CUST001514,PLAN01,2021-05-18,,Active,True,,,6.99
SUB0001668,CUST001515,PLAN01,2026-05-06,,Cancelled,True,2026-06-08,Content quality decline,6.99
SUB0001669,CUST001516,PLAN03,2019-12-23,,Active,True,,,22.99
SUB0001670,CUST001517,PLAN01,2025-10-08,,Active,True,,,6.99
SUB0001671,CUST001518,PLAN03,2025-07-13,,Active,False,,,22.99
SUB0001672,CUST001519,PLAN01,2021-02-13,,Active,True,,,6.99
SUB0001673,CUST001520,PLAN02,2019-03-23,,Active,True,,,15.49
SUB0001674,CUST001521,PLAN01,2022-08-07,,Active,False,,,6.99
SUB0001675,CUST001522,PLAN01,2020-03-22,,Cancelled,True,2026-02-22,Found alternative platform,6.99
SUB0001676,CUST001523,PLAN02,2019-11-14,,Active,True,,,15.49
SUB0001677,CUST001524,PLAN01,2020-09-22,,Cancelled,True,2025-10-27,Household budget cuts,6.99
SUB0001678,CUST001525,PLAN01,2021-05-01,,Active,True,,,6.99
SUB0001679,CUST001526,PLAN02,2019-06-04,2021-05-17,Plan Changed,True,,,22.99
SUB0001680,CUST001526,PLAN03,2021-05-17,,Active,True,,,22.99
SUB0001681,CUST001527,PLAN02,2023-04-11,2024-05-02,Plan Changed,True,,,6.99
SUB0001682,CUST001527,PLAN01,2024-05-02,,Cancelled,True,2026-06-02,Technical issues,6.99
SUB0001683,CUST001528,PLAN01,2026-05-07,,Active,True,,,6.99
SUB0001684,CUST001529,PLAN01,2019-03-11,,Active,True,,,6.99
SUB0001685,CUST001530,PLAN01,2021-06-15,,Active,False,,,6.99
SUB0001686,CUST001531,PLAN03,2025-07-03,,Active,False,,,22.99
SUB0001687,CUST001532,PLAN01,2019-01-04,,Active,True,,,6.99
SUB0001688,CUST001533,PLAN02,2026-03-29,,Active,True,,,15.49
SUB0001689,CUST001534,PLAN01,2019-09-20,,Active,True,,,6.99
SUB0001690,CUST001535,PLAN01,2020-08-25,,Active,True,,,6.99
SUB0001691,CUST001536,PLAN02,2022-09-13,,Active,True,,,15.49
SUB0001692,CUST001537,PLAN03,2020-12-02,,Active,True,,,22.99
SUB0001693,CUST001538,PLAN02,2020-04-22,,Active,False,,,15.49
SUB0001694,CUST001539,PLAN01,2024-02-21,,Active,True,,,6.99
SUB0001695,CUST001540,PLAN01,2024-06-10,,Active,False,,,6.99
SUB0001696,CUST001541,PLAN01,2025-09-16,,Cancelled,True,2025-12-17,Too expensive,6.99
SUB0001697,CUST001542,PLAN01,2021-02-01,,Active,True,,,6.99
SUB0001698,CUST001543,PLAN01,2019-04-23,,Active,True,,,6.99
SUB0001699,CUST001544,PLAN02,2023-12-19,,Active,False,,,15.49
SUB0001700,CUST001545,PLAN02,2021-02-13,,Active,True,,,15.49
SUB0001701,CUST001546,PLAN02,2023-02-04,2023-10-21,Plan Changed,True,,,6.99
SUB0001702,CUST001546,PLAN01,2023-10-21,,Active,True,,,6.99
SUB0001703,CUST001547,PLAN03,2022-11-15,,Active,True,,,22.99
SUB0001704,CUST001548,PLAN01,2023-06-02,,Active,True,,,6.99
SUB0001705,CUST001549,PLAN01,2025-05-29,,Cancelled,True,2026-03-09,Technical issues,6.99
SUB0001706,CUST001550,PLAN02,2020-02-28,,Cancelled,True,2026-02-12,No longer needed,15.49
SUB0001707,CUST001551,PLAN03,2021-12-22,2025-08-22,Plan Changed,True,,,6.99
SUB0001708,CUST001551,PLAN01,2025-08-22,,Active,True,,,6.99
SUB0001709,CUST001552,PLAN01,2023-10-28,,Active,True,,,6.99
SUB0001710,CUST001553,PLAN01,2022-11-15,,Active,True,,,6.99
SUB0001711,CUST001554,PLAN01,2019-11-16,,Active,True,,,6.99
SUB0001712,CUST001555,PLAN01,2024-09-04,,Active,False,,,6.99
SUB0001713,CUST001556,PLAN01,2024-11-15,,Active,True,,,6.99
SUB0001714,CUST001557,PLAN02,2026-05-18,,Active,True,,,15.49
SUB0001715,CUST001558,PLAN02,2022-03-30,,Active,False,,,15.49
SUB0001716,CUST001559,PLAN01,2025-03-01,,Cancelled,True,2026-03-06,Too expensive,6.99
SUB0001717,CUST001560,PLAN01,2022-12-09,,Cancelled,True,2026-01-08,Password sharing crackdown,6.99
SUB0001718,CUST001561,PLAN03,2024-04-12,2024-11-01,Plan Changed,True,,,22.99
SUB0001719,CUST001561,PLAN03,2024-11-01,,Cancelled,True,2025-12-07,Technical issues,22.99
SUB0001720,CUST001562,PLAN02,2021-02-04,,Cancelled,True,2026-06-25,Payment issues,15.49
SUB0001721,CUST001563,PLAN01,2022-08-07,,Active,False,,,6.99
SUB0001722,CUST001564,PLAN03,2019-06-09,,Active,True,,,22.99
SUB0001723,CUST001565,PLAN01,2020-11-05,,Active,True,,,6.99
SUB0001724,CUST001566,PLAN01,2025-12-25,,Cancelled,True,2026-04-22,Too expensive,6.99
SUB0001725,CUST001567,PLAN01,2023-06-01,,Cancelled,True,2025-11-21,Too expensive,6.99
SUB0001726,CUST001568,PLAN02,2024-07-11,,Active,True,,,15.49
SUB0001727,CUST001569,PLAN02,2019-12-07,,Active,True,,,15.49
SUB0001728,CUST001570,PLAN02,2019-03-08,,Active,True,,,15.49
SUB0001729,CUST001571,PLAN01,2023-09-30,,Cancelled,True,2026-05-02,Household budget cuts,6.99
SUB0001730,CUST001572,PLAN02,2019-03-26,2022-06-01,Plan Changed,True,,,6.99
SUB0001731,CUST001572,PLAN01,2022-06-01,,Active,True,,,6.99
SUB0001732,CUST001573,PLAN02,2022-10-26,,Active,True,,,15.49
SUB0001733,CUST001574,PLAN01,2019-05-27,,Active,True,,,6.99
SUB0001734,CUST001575,PLAN03,2021-01-07,2024-03-28,Plan Changed,True,,,15.49
SUB0001735,CUST001575,PLAN02,2024-03-28,,Active,True,,,15.49
SUB0001736,CUST001576,PLAN01,2019-02-28,2019-12-04,Plan Changed,True,,,15.49
SUB0001737,CUST001576,PLAN02,2019-12-04,,Active,True,,,15.49
SUB0001738,CUST001577,PLAN01,2022-02-17,,Active,True,,,6.99
SUB0001739,CUST001578,PLAN02,2025-04-08,,Active,False,,,15.49
SUB0001740,CUST001579,PLAN01,2022-07-16,,Active,True,,,6.99
SUB0001741,CUST001580,PLAN02,2019-01-09,,Active,False,,,15.49
SUB0001742,CUST001581,PLAN01,2022-11-24,,Active,False,,,6.99
SUB0001743,CUST001582,PLAN01,2025-08-13,,Active,False,,,6.99
SUB0001744,CUST001583,PLAN03,2020-11-24,,Active,True,,,22.99
SUB0001745,CUST001584,PLAN02,2021-10-21,,Active,True,,,15.49
SUB0001746,CUST001585,PLAN02,2026-03-02,,Cancelled,True,2026-03-17,Payment issues,15.49
SUB0001747,CUST001586,PLAN01,2023-12-01,,Active,False,,,6.99
SUB0001748,CUST001587,PLAN01,2026-03-15,,Active,True,,,6.99
SUB0001749,CUST001588,PLAN01,2019-01-19,2019-05-10,Plan Changed,True,,,6.99
SUB0001750,CUST001588,PLAN01,2019-05-10,,Active,True,,,6.99
SUB0001751,CUST001589,PLAN01,2023-01-16,,Active,True,,,6.99
SUB0001752,CUST001590,PLAN02,2021-03-04,,Active,True,,,15.49
SUB0001753,CUST001591,PLAN01,2022-09-16,,Active,False,,,6.99
SUB0001754,CUST001592,PLAN01,2022-04-08,,Cancelled,False,2026-04-16,Too expensive,6.99
SUB0001755,CUST001593,PLAN03,2025-10-18,,Active,True,,,22.99
SUB0001756,CUST001594,PLAN02,2024-02-19,,Cancelled,True,2026-06-13,No longer needed,15.49
SUB0001757,CUST001595,PLAN01,2019-01-03,,Active,False,,,6.99
SUB0001758,CUST001596,PLAN03,2023-05-13,,Active,True,,,22.99
SUB0001759,CUST001597,PLAN02,2021-12-19,,Active,True,,,15.49
SUB0001760,CUST001598,PLAN01,2019-11-24,,Cancelled,True,2026-06-14,Poor customer service experience,6.99
SUB0001761,CUST001599,PLAN01,2025-09-25,,Active,True,,,6.99
SUB0001762,CUST001600,PLAN03,2022-03-05,,Active,True,,,22.99
SUB0001763,CUST001601,PLAN01,2025-05-24,2025-12-14,Plan Changed,True,,,22.99
SUB0001764,CUST001601,PLAN03,2025-12-14,,Active,True,,,22.99
SUB0001765,CUST001602,PLAN01,2025-10-14,,Active,False,,,6.99
SUB0001766,CUST001603,PLAN02,2023-01-06,,Active,False,,,15.49
SUB0001767,CUST001604,PLAN02,2019-09-13,2021-02-24,Plan Changed,True,,,15.49
SUB0001768,CUST001604,PLAN02,2021-02-24,,Active,True,,,15.49
SUB0001769,CUST001605,PLAN03,2021-07-09,,Active,False,,,22.99
SUB0001770,CUST001606,PLAN01,2022-05-20,,Cancelled,True,2026-02-24,Found alternative platform,6.99
SUB0001771,CUST001607,PLAN02,2026-05-15,,Active,True,,,15.49
SUB0001772,CUST001608,PLAN01,2020-10-04,,Cancelled,True,2025-10-19,Password sharing crackdown,6.99
SUB0001773,CUST001609,PLAN01,2023-06-18,,Active,True,,,6.99
SUB0001774,CUST001610,PLAN01,2019-11-08,,Active,True,,,6.99
SUB0001775,CUST001611,PLAN02,2020-02-24,,Cancelled,True,2026-03-19,Password sharing crackdown,15.49
SUB0001776,CUST001612,PLAN01,2024-08-21,,Cancelled,False,2026-05-22,Too expensive,6.99
SUB0001777,CUST001613,PLAN02,2022-11-17,,Active,True,,,15.49
SUB0001778,CUST001614,PLAN01,2024-04-17,,Active,True,,,6.99
SUB0001779,CUST001615,PLAN03,2021-07-02,,Cancelled,True,2026-06-02,Found alternative platform,22.99
SUB0001780,CUST001616,PLAN01,2019-10-10,,Active,True,,,6.99
SUB0001781,CUST001617,PLAN01,2021-02-03,2022-10-19,Plan Changed,True,,,6.99
SUB0001782,CUST001617,PLAN01,2022-10-19,,Active,True,,,6.99
SUB0001783,CUST001618,PLAN01,2024-08-12,,Active,True,,,6.99
SUB0001784,CUST001619,PLAN03,2023-08-17,,Active,True,,,22.99
SUB0001785,CUST001620,PLAN03,2021-12-26,,Active,True,,,22.99
SUB0001786,CUST001621,PLAN03,2020-01-22,,Active,False,,,22.99
SUB0001787,CUST001622,PLAN01,2025-12-21,,Active,True,,,6.99
SUB0001788,CUST001623,PLAN02,2022-01-11,,Active,True,,,15.49
SUB0001789,CUST001624,PLAN01,2020-02-24,,Cancelled,True,2026-04-19,Payment issues,6.99
SUB0001790,CUST001625,PLAN02,2025-09-08,,Active,True,,,15.49
SUB0001791,CUST001626,PLAN02,2022-05-24,,Active,True,,,15.49
SUB0001792,CUST001627,PLAN01,2021-06-06,,Active,True,,,6.99
SUB0001793,CUST001628,PLAN02,2019-05-17,,Active,True,,,15.49
SUB0001794,CUST001629,PLAN03,2022-05-15,,Active,True,,,22.99
SUB0001795,CUST001630,PLAN03,2022-09-25,2023-04-28,Plan Changed,True,,,15.49
SUB0001796,CUST001630,PLAN02,2023-04-28,,Active,True,,,15.49
SUB0001797,CUST001631,PLAN01,2024-07-31,,Cancelled,True,2026-02-13,Too expensive,6.99
SUB0001798,CUST001632,PLAN01,2021-02-13,,Active,False,,,6.99
SUB0001799,CUST001633,PLAN02,2025-10-29,,Active,True,,,15.49
SUB0001800,CUST001634,PLAN01,2021-04-20,,Active,True,,,6.99
SUB0001801,CUST001635,PLAN03,2019-10-22,,Active,True,,,22.99
SUB0001802,CUST001636,PLAN02,2020-07-07,,Active,True,,,15.49
SUB0001803,CUST001637,PLAN02,2022-01-06,,Cancelled,True,2026-06-16,Not enough content,15.49
SUB0001804,CUST001638,PLAN01,2020-08-19,,Cancelled,True,2026-01-24,Household budget cuts,6.99
SUB0001805,CUST001639,PLAN02,2023-08-12,,Active,True,,,15.49
SUB0001806,CUST001640,PLAN02,2021-06-17,,Active,True,,,15.49
SUB0001807,CUST001641,PLAN01,2023-05-10,2024-12-04,Plan Changed,True,,,6.99
SUB0001808,CUST001641,PLAN01,2024-12-04,,Active,True,,,6.99
SUB0001809,CUST001642,PLAN01,2025-05-29,,Cancelled,True,2026-06-15,Too expensive,6.99
SUB0001810,CUST001643,PLAN02,2023-12-31,2024-05-03,Plan Changed,True,,,6.99
SUB0001811,CUST001643,PLAN01,2024-05-03,,Active,True,,,6.99
SUB0001812,CUST001644,PLAN03,2025-06-03,,Active,False,,,22.99
SUB0001813,CUST001645,PLAN02,2021-03-23,,Active,False,,,15.49
SUB0001814,CUST001646,PLAN03,2020-12-06,2023-01-06,Plan Changed,False,,,15.49
SUB0001815,CUST001646,PLAN02,2023-01-06,,Cancelled,False,2025-12-16,Technical issues,15.49
SUB0001816,CUST001647,PLAN01,2020-07-15,,Active,False,,,6.99
SUB0001817,CUST001648,PLAN01,2022-03-01,,Cancelled,True,2026-04-11,Content quality decline,6.99
SUB0001818,CUST001649,PLAN01,2023-10-17,,Cancelled,False,2025-12-31,Too expensive,6.99
SUB0001819,CUST001650,PLAN03,2019-11-15,,Active,True,,,22.99
SUB0001820,CUST001651,PLAN01,2019-06-14,,Active,True,,,6.99
SUB0001821,CUST001652,PLAN03,2019-02-03,2020-07-28,Plan Changed,True,,,22.99
SUB0001822,CUST001652,PLAN03,2020-07-28,,Active,True,,,22.99
SUB0001823,CUST001653,PLAN01,2023-07-23,,Active,True,,,6.99
SUB0001824,CUST001654,PLAN02,2019-10-06,,Active,True,,,15.49
SUB0001825,CUST001655,PLAN02,2023-07-06,,Active,True,,,15.49
SUB0001826,CUST001656,PLAN03,2024-03-06,,Active,True,,,22.99
SUB0001827,CUST001657,PLAN03,2022-02-17,,Cancelled,True,2026-02-25,Payment issues,22.99
SUB0001828,CUST001658,PLAN01,2022-03-19,2024-02-22,Plan Changed,False,,,6.99
SUB0001829,CUST001658,PLAN01,2024-02-22,,Cancelled,False,2026-05-28,Too expensive,6.99
SUB0001830,CUST001659,PLAN01,2023-09-07,,Active,False,,,6.99
SUB0001831,CUST001660,PLAN03,2022-07-25,,Active,True,,,22.99
SUB0001832,CUST001661,PLAN02,2025-09-28,,Active,True,,,15.49
SUB0001833,CUST001662,PLAN02,2020-03-03,2026-06-18,Plan Changed,True,,,6.99
SUB0001834,CUST001662,PLAN01,2026-06-18,,Cancelled,True,,Technical issues,6.99
SUB0001835,CUST001663,PLAN01,2022-08-30,,Active,True,,,6.99
SUB0001836,CUST001664,PLAN02,2020-09-24,,Active,True,,,15.49
SUB0001837,CUST001665,PLAN02,2022-02-15,,Active,True,,,15.49
SUB0001838,CUST001666,PLAN01,2021-01-04,,Active,True,,,6.99
SUB0001839,CUST001667,PLAN01,2021-06-09,,Cancelled,True,2026-05-18,Payment issues,6.99
SUB0001840,CUST001668,PLAN03,2020-08-11,2024-04-28,Plan Changed,True,,,6.99
SUB0001841,CUST001668,PLAN01,2024-04-28,,Active,True,,,6.99
SUB0001842,CUST001669,PLAN03,2019-11-27,2021-10-21,Plan Changed,True,,,6.99
SUB0001843,CUST001669,PLAN01,2021-10-21,,Cancelled,True,2025-10-13,Moving / relocation,6.99
SUB0001844,CUST001670,PLAN02,2021-11-05,,Active,False,,,15.49
SUB0001845,CUST001671,PLAN03,2024-12-10,,Active,True,,,22.99
SUB0001846,CUST001672,PLAN02,2023-01-31,,Cancelled,True,2025-11-03,No longer needed,15.49
SUB0001847,CUST001673,PLAN02,2023-06-23,,Active,True,,,15.49
SUB0001848,CUST001674,PLAN01,2019-08-17,,Cancelled,True,2026-01-23,Not enough content,6.99
SUB0001849,CUST001675,PLAN03,2026-04-10,,Cancelled,True,2026-04-27,Household budget cuts,22.99
SUB0001850,CUST001676,PLAN01,2022-09-14,,Active,True,,,6.99
SUB0001851,CUST001677,PLAN01,2019-02-09,,Active,False,,,6.99
SUB0001852,CUST001678,PLAN03,2019-11-12,,Active,True,,,22.99
SUB0001853,CUST001679,PLAN02,2025-10-21,,Active,True,,,15.49
SUB0001854,CUST001680,PLAN01,2023-01-31,,Active,True,,,6.99
SUB0001855,CUST001681,PLAN01,2026-02-16,,Active,True,,,6.99
SUB0001856,CUST001682,PLAN01,2024-06-07,,Cancelled,True,2026-02-27,Household budget cuts,6.99
SUB0001857,CUST001683,PLAN02,2020-08-04,,Cancelled,False,2026-05-23,Technical issues,15.49
SUB0001858,CUST001684,PLAN03,2021-12-01,,Active,True,,,22.99
SUB0001859,CUST001685,PLAN03,2020-12-13,,Active,False,,,22.99
SUB0001860,CUST001686,PLAN01,2025-09-22,2025-12-09,Plan Changed,True,,,22.99
SUB0001861,CUST001686,PLAN03,2025-12-09,,Active,True,,,22.99
SUB0001862,CUST001687,PLAN01,2020-07-11,,Cancelled,True,2026-03-16,Found alternative platform,6.99
SUB0001863,CUST001688,PLAN03,2025-12-08,,Cancelled,True,2026-01-19,Too expensive,22.99
SUB0001864,CUST001689,PLAN02,2019-01-18,,Active,True,,,15.49
SUB0001865,CUST001690,PLAN01,2022-08-18,,Active,False,,,6.99
SUB0001866,CUST001691,PLAN02,2025-07-15,,Cancelled,True,2025-11-21,Household budget cuts,15.49
SUB0001867,CUST001692,PLAN02,2023-03-30,,Active,True,,,15.49
SUB0001868,CUST001693,PLAN01,2021-01-22,,Active,True,,,6.99
SUB0001869,CUST001694,PLAN02,2020-09-27,,Active,True,,,15.49
SUB0001870,CUST001695,PLAN01,2026-03-29,,Active,True,,,6.99
SUB0001871,CUST001696,PLAN03,2025-04-10,2025-10-05,Plan Changed,False,,,15.49
SUB0001872,CUST001696,PLAN02,2025-10-05,,Cancelled,False,2026-02-21,No longer needed,15.49
SUB0001873,CUST001697,PLAN01,2021-07-11,2025-07-24,Plan Changed,True,,,15.49
SUB0001874,CUST001697,PLAN02,2025-07-24,,Active,True,,,15.49
SUB0001875,CUST001698,PLAN01,2021-12-02,,Active,False,,,6.99
SUB0001876,CUST001699,PLAN02,2023-06-19,,Active,True,,,15.49
SUB0001877,CUST001700,PLAN02,2025-06-04,,Active,True,,,15.49
SUB0001878,CUST001701,PLAN03,2022-10-19,2023-04-06,Plan Changed,True,,,6.99
SUB0001879,CUST001701,PLAN01,2023-04-06,,Active,True,,,6.99
SUB0001880,CUST001702,PLAN03,2019-03-23,,Active,True,,,22.99
SUB0001881,CUST001703,PLAN03,2025-09-02,,Active,True,,,22.99
SUB0001882,CUST001704,PLAN01,2019-09-24,,Cancelled,False,2025-12-31,Moving / relocation,6.99
SUB0001883,CUST001705,PLAN02,2025-10-24,,Active,True,,,15.49
SUB0001884,CUST001706,PLAN02,2019-07-20,,Active,True,,,15.49
SUB0001885,CUST001707,PLAN02,2025-11-30,,Active,True,,,15.49
SUB0001886,CUST001708,PLAN01,2024-09-27,,Active,True,,,6.99
SUB0001887,CUST001709,PLAN02,2023-05-24,,Active,True,,,15.49
SUB0001888,CUST001710,PLAN01,2023-11-26,,Cancelled,True,2026-02-02,Too expensive,6.99
SUB0001889,CUST001711,PLAN03,2025-10-21,,Cancelled,True,2025-12-22,Found alternative platform,22.99
SUB0001890,CUST001712,PLAN02,2022-05-10,2025-09-25,Plan Changed,True,,,6.99
SUB0001891,CUST001712,PLAN01,2025-09-25,,Active,True,,,6.99
SUB0001892,CUST001713,PLAN01,2020-08-25,,Active,True,,,6.99
SUB0001893,CUST001714,PLAN02,2021-04-03,,Active,True,,,15.49
SUB0001894,CUST001715,PLAN02,2025-07-15,,Cancelled,True,2026-05-27,Payment issues,15.49
SUB0001895,CUST001716,PLAN02,2022-01-18,,Active,True,,,15.49
SUB0001896,CUST001717,PLAN01,2019-07-03,,Active,True,,,6.99
SUB0001897,CUST001718,PLAN02,2025-12-06,,Active,True,,,15.49
SUB0001898,CUST001719,PLAN02,2023-08-25,,Cancelled,True,2025-12-02,Household budget cuts,15.49
SUB0001899,CUST001720,PLAN03,2021-12-13,2023-09-04,Plan Changed,True,,,6.99
SUB0001900,CUST001720,PLAN01,2023-09-04,,Cancelled,True,2026-03-14,No longer needed,6.99
SUB0001901,CUST001721,PLAN02,2022-03-12,,Active,True,,,15.49
SUB0001902,CUST001722,PLAN01,2023-11-12,,Active,True,,,6.99
SUB0001903,CUST001723,PLAN01,2020-09-23,,Active,False,,,6.99
SUB0001904,CUST001724,PLAN01,2021-09-09,,Cancelled,True,2026-06-08,Content quality decline,6.99
SUB0001905,CUST001725,PLAN02,2023-05-26,,Active,True,,,15.49
SUB0001906,CUST001726,PLAN02,2025-09-29,,Active,True,,,15.49
SUB0001907,CUST001727,PLAN01,2019-04-11,,Active,True,,,6.99
SUB0001908,CUST001728,PLAN01,2022-05-13,,Cancelled,True,2026-03-14,Too expensive,6.99
SUB0001909,CUST001729,PLAN02,2023-01-31,,Active,True,,,15.49
SUB0001910,CUST001730,PLAN03,2019-02-27,,Active,True,,,22.99
SUB0001911,CUST001731,PLAN02,2025-06-09,,Active,True,,,15.49
SUB0001912,CUST001732,PLAN02,2020-12-06,,Active,True,,,15.49
SUB0001913,CUST001733,PLAN02,2021-05-01,,Active,False,,,15.49
SUB0001914,CUST001734,PLAN01,2021-05-26,2022-08-26,Plan Changed,True,,,22.99
SUB0001915,CUST001734,PLAN03,2022-08-26,,Cancelled,True,2026-05-24,Poor customer service experience,22.99
SUB0001916,CUST001735,PLAN03,2025-07-17,,Cancelled,True,2026-05-15,Found alternative platform,22.99
SUB0001917,CUST001736,PLAN02,2022-11-29,,Active,True,,,15.49
SUB0001918,CUST001737,PLAN02,2020-04-26,,Active,True,,,15.49
SUB0001919,CUST001738,PLAN02,2023-08-18,,Cancelled,True,2025-11-30,Not enough content,15.49
SUB0001920,CUST001739,PLAN02,2019-01-28,2025-08-01,Plan Changed,False,,,6.99
SUB0001921,CUST001739,PLAN01,2025-08-01,,Active,False,,,6.99
SUB0001922,CUST001740,PLAN01,2026-03-03,,Active,True,,,6.99
SUB0001923,CUST001741,PLAN01,2024-07-10,,Active,False,,,6.99
SUB0001924,CUST001742,PLAN01,2023-02-23,,Active,True,,,6.99
SUB0001925,CUST001743,PLAN02,2019-09-30,,Active,True,,,15.49
SUB0001926,CUST001744,PLAN03,2025-05-29,,Active,True,,,22.99
SUB0001927,CUST001745,PLAN02,2025-05-01,,Active,True,,,15.49
SUB0001928,CUST001746,PLAN01,2025-12-02,,Active,False,,,6.99
SUB0001929,CUST001747,PLAN02,2024-10-05,,Cancelled,True,2026-05-08,Too expensive,15.49
SUB0001930,CUST001748,PLAN02,2021-04-19,,Active,True,,,15.49
SUB0001931,CUST001749,PLAN03,2020-04-06,,Active,True,,,22.99
SUB0001932,CUST001750,PLAN02,2024-06-07,,Active,True,,,15.49
SUB0001933,CUST001751,PLAN01,2023-11-17,,Active,True,,,6.99
SUB0001934,CUST001752,PLAN03,2025-07-29,,Active,False,,,22.99
SUB0001935,CUST001753,PLAN01,2023-01-08,,Cancelled,False,2026-05-06,Too expensive,6.99
SUB0001936,CUST001754,PLAN02,2020-05-06,,Active,True,,,15.49
